time,coin,dir,px,sz,ntl,fee,closedPnl
3/24/2026 - 16:54:05,XRP,Open Short,1.4038,12,16.845599999999997,0.007277,-0.007277
3/24/2026 - 19:45:23,SOL,Open Short,89.05,0.19,16.9195,0.007309,-0.007309
3/24/2026 - 20:00:30,DOGE,Open Short,0.09299,184,17.11016,0.007391,-0.007391
3/24/2026 - 20:00:35,ETH,Open Short,2119.6,0.008,16.9568,0.007325,-0.007325
3/24/2026 - 20:21:17,XRP,Close Short,1.3923,12,16.7076,0.007217,0.130783
3/24/2026 - 21:17:49,SOL,Close Short,88.777,0.19,16.867630000000002,0.007286,0.044584
3/24/2026 - 21:28:11,AAVE,Open Long,111.14,0.15,16.671,0.007201,-0.007201
3/24/2026 - 21:28:14,DOGE,Close Short,0.094403,184,17.370152,0.007503,-0.267495
3/24/2026 - 21:28:17,DOGE,Open Long,0.0944,180,16.992,0.00734,-0.00734
3/24/2026 - 21:28:22,ETH,Close Short,2142.1,0.008,17.1368,0.007403,-0.187403
3/24/2026 - 21:28:24,ETH,Open Long,2142.8,0.0079,16.928120000000003,0.007312,-0.007312
3/24/2026 - 21:43:47,SOL,Open Long,89.839,0.18,16.17102,0.006985,-0.006985
3/24/2026 - 23:31:55,SOL,Close Long,90.22,0.18,16.2396,0.007015,0.061565
3/24/2026 - 23:31:58,SOL,Open Long,90.221,0.18,16.23978,0.007015,-0.007015
3/24/2026 - 23:32:00,AAVE,Close Long,111.63,0.15,16.7445,0.007233,0.06626699999999999
3/24/2026 - 23:32:05,ETH,Close Long,2144.2,0.0079,16.93918,0.007317,0.0037430000000000007
3/24/2026 - 23:32:07,ETH,Open Long,2144.2,0.0079,16.93918,0.007317,-0.007317
3/24/2026 - 23:37:16,AAVE,Open Long,111.71,0.15,16.7565,0.007238,-0.007238
3/25/2026 - 00:44:20,XRP,Open Long,1.415,12,16.98,0.007335,-0.007335
3/25/2026 - 01:04:50,SOL,Close Long,90.874,0.18,16.357319999999998,0.007066,0.110474
3/25/2026 - 01:04:53,SOL,Open Long,90.875,0.18,16.357499999999998,0.007066,-0.007066
3/25/2026 - 01:04:59,ETH,Close Long,2156.6,0.0079,17.03714,0.00736,0.0906
3/25/2026 - 01:05:01,ETH,Open Long,2156.7,0.0079,17.03793,0.00736,-0.00736
3/25/2026 - 01:25:35,DOGE,Close Long,0.095086,180,17.11548,0.007393,0.11608700000000001
3/25/2026 - 02:01:38,AAVE,Close Long,112.43,0.15,16.8645,0.007285,0.100715
3/25/2026 - 02:22:12,SOL,Close Long,91.178,0.18,16.412039999999998,0.00709,0.04745
3/25/2026 - 03:34:27,XRP,Close Long,1.4118,12,16.9416,0.007318,-0.045717999999999995
3/25/2026 - 04:25:59,XRP,Open Short,1.4078,12,16.8936,0.007298,-0.007298
3/25/2026 - 07:11:29,ETH,Close Long,2163.7,0.0079,17.093230000000002,0.007384,0.047916
3/25/2026 - 17:34:17,XRP,Close Short,1.4168,12,17.0016,0.007344,-0.115344
3/25/2026 - 17:49:45,XRP,Open Long,1.4159,12,16.9908,0.00734,-0.00734
3/26/2026 - 01:07:16,XRP,Close Long,1.4123,12,16.9476,0.007321,-0.050521
3/26/2026 - 02:55:22,XRP,Open Short,1.4099,12,16.918799999999997,0.007308,-0.007308
3/26/2026 - 03:36:33,AAVE,Open Short,111.36,0.15,16.704,0.007216,-0.007216
3/26/2026 - 03:36:37,DOGE,Open Short,0.094712,180,17.04816,0.007364,-0.007364
3/26/2026 - 03:36:42,ETH,Open Short,2147,0.0079,16.9613,0.007327,-0.007327
3/26/2026 - 03:41:49,SOL,Open Short,90.77,0.18,16.3386,0.007058,-0.007058
3/26/2026 - 04:28:09,kPEPE,Open Short,0.003478,4945,17.198710000000002,0.007429,-0.007429
3/26/2026 - 04:59:08,DOGE,Close Short,0.094587,180,17.025660000000002,0.007355,0.015144999999999999
3/26/2026 - 04:59:10,DOGE,Open Short,0.094578,180,17.02404,0.007354,-0.007354
3/26/2026 - 04:59:16,XRP,Close Short,1.401,12,16.812,0.007262,0.099538
3/26/2026 - 04:59:18,XRP,Open Short,1.4009,12,16.8108,0.007262,-0.007262
3/26/2026 - 06:11:22,LINK,Open Short,9.1908,1.8,16.54344,0.007146,-0.007146
3/26/2026 - 07:13:07,AAVE,Close Short,108.16,0.15,16.224,0.007008,0.47299199999999997
3/26/2026 - 07:23:29,ETH,Close Short,2118.9,0.0079,16.739310000000003,0.007231,0.214759
3/26/2026 - 07:23:32,ETH,Open Short,2118.8,0.0082,17.374160000000003,0.007505,-0.007505
3/26/2026 - 08:09:45,kPEPE,Close Short,0.003441,4945,17.015745,0.00735,0.175615
3/26/2026 - 08:09:48,kPEPE,Open Short,0.00344,5111,17.58184,0.007595,-0.007595
3/26/2026 - 08:09:55,DOGE,Close Short,0.092673,180,16.68114,0.007206,0.335694
3/26/2026 - 10:13:54,LINK,Close Short,9.089,1.8,16.360200000000003,0.007067,0.176173
3/26/2026 - 10:44:45,kPEPE,Close Short,0.003406,5111,17.408066,0.00752,0.166254
3/26/2026 - 10:44:49,SOL,Close Short,88.062,0.18,15.851159999999998,0.006847,0.480593
3/26/2026 - 11:26:08,XRP,Close Short,1.374,9,12.366000000000001,0.005342,0.236758
3/26/2026 - 11:26:08,XRP,Close Short,1.374,3,4.122,0.00178,0.07891999999999999
3/26/2026 - 11:31:17,ETH,Close Short,2081.3,0.004,8.3252,0.003596,0.146404
3/26/2026 - 11:31:17,ETH,Close Short,2081.3,0.0042,8.74146,0.003776,0.153724
3/28/2026 - 11:08:12,DOGE,Open Long,0.091706,193,17.699258,0.007646,-0.007646
3/28/2026 - 14:50:03,kPEPE,Open Long,0.003351,5315,17.810565,0.007694,-0.007694
3/28/2026 - 15:57:06,kPEPE,Close Long,0.003355,5315,17.831825,0.007703,0.013557000000000001
3/28/2026 - 15:57:13,DOGE,Close Long,0.093599,193,18.064607,0.007803,0.357546
3/28/2026 - 16:28:18,XRP,Open Long,1.3519,13,17.5747,0.007592,-0.007592
3/28/2026 - 20:20:12,kPEPE,Open Short,0.003338,5341,17.828257999999998,0.007701,-0.007701
3/28/2026 - 23:00:13,XRP,Close Long,1.3404,13,17.4252,0.007527,-0.157027
3/28/2026 - 23:25:53,kPEPE,Close Short,0.003321,5341,17.737461,0.007662,0.083135
3/28/2026 - 23:46:35,DOGE,Open Short,0.091626,194,17.775444,0.007678,-0.007678
3/29/2026 - 03:05:44,DOGE,Close Short,0.0909,194,17.6346,0.007618,0.133226
3/30/2026 - 02:22:05,kPEPE,Open Long,0.003332,5367,17.882844,0.007725,-0.007725
3/30/2026 - 02:22:13,DOGE,Open Long,0.091608,195,17.86356,0.007717,-0.007717
3/30/2026 - 02:22:19,ETH,Open Long,2010.9,0.0088,17.69592,0.007644,-0.007644
3/30/2026 - 02:22:23,XRP,Open Long,1.3401,13,17.421300000000002,0.007526,-0.007526
3/30/2026 - 02:42:55,kPEPE,Close Long,0.003292,5367,17.668163999999997,0.007632,-0.222312
3/30/2026 - 02:43:05,XRP,Close Long,1.3285,13,17.2705,0.00746,-0.15825999999999998
3/30/2026 - 02:58:35,ETH,Close Long,1998.6,0.0088,17.58768,0.007597,-0.115837
3/30/2026 - 04:15:51,LINK,Open Long,8.5688,2,17.1376,0.007403,-0.007403
3/30/2026 - 04:51:56,SOL,Open Long,83.398,0.21,17.513579999999997,0.007565,-0.007565
3/30/2026 - 04:52:00,AAVE,Open Long,98.318,0.18,17.697239999999997,0.007645,-0.007645
3/30/2026 - 04:57:12,DOGE,Close Long,0.092305,195,17.999475,0.007775,0.12814
3/30/2026 - 04:57:16,LINK,Close Long,8.6139,2,17.2278,0.007442,0.082758
3/30/2026 - 07:26:43,SOL,Close Long,83.854,0.21,17.60934,0.007607,0.088153
3/30/2026 - 11:03:09,AAVE,Close Long,98.588,0.18,17.745839999999998,0.007666,0.040934
3/30/2026 - 16:43:37,XRP,Open Short,1.3369,13,17.3797,0.007508,-0.007508
3/30/2026 - 19:28:35,AAVE,Open Short,97.225,0.18,17.5005,0.00756,-0.00756
3/30/2026 - 19:54:27,DOGE,Open Short,0.091637,194,17.777578,0.007679,-0.007679
3/30/2026 - 19:59:36,SOL,Open Short,83.207,0.21,17.47347,0.007548,-0.007548
3/30/2026 - 20:51:12,kPEPE,Open Short,0.003312,5416,17.937791999999998,0.007749,-0.007749
3/30/2026 - 21:11:56,LINK,Open Short,8.6023,2,17.2046,0.007432,-0.007432
3/30/2026 - 21:12:00,ETH,Open Short,2017.4,0.0089,17.95486,0.007756,-0.007756
3/30/2026 - 21:53:15,DOGE,Close Short,0.090796,194,17.614424,0.007609,0.155545
3/30/2026 - 21:58:23,kPEPE,Close Short,0.003305,5416,17.89988,0.007732,0.030180000000000002
3/30/2026 - 21:58:27,AAVE,Close Short,96.772,0.18,17.418960000000002,0.007524,0.074016
3/30/2026 - 21:58:34,XRP,Close Short,1.3223,13,17.1899,0.007426,0.182374
3/30/2026 - 22:08:48,SOL,Close Short,82.6,0.21,17.345999999999997,0.007493,0.119977
3/30/2026 - 23:15:53,LINK,Close Short,8.6869,2,17.3738,0.007505,-0.176705
3/30/2026 - 23:15:57,ETH,Close Short,2037.4,0.0089,18.13286,0.007833,-0.185833
3/30/2026 - 23:26:11,kPEPE,Open Long,0.003333,5359,17.861547,0.007716,-0.007716
3/31/2026 - 00:02:19,kPEPE,Close Long,0.003336,5359,17.877624,0.007723,0.008354
3/31/2026 - 02:52:26,kPEPE,Open Long,0.003329,5364,17.856756,0.007714,-0.007714
3/31/2026 - 02:52:33,LINK,Open Long,8.6336,2,17.2672,0.007459,-0.007459
3/31/2026 - 02:52:37,ETH,Open Long,2030.2,0.0087,17.66274,0.00763,-0.00763
3/31/2026 - 03:28:36,SOL,Open Long,83.577,0.19,15.87963,0.00686,-0.00686
3/31/2026 - 03:28:36,SOL,Open Long,83.59,0.02,1.6718000000000002,0.000722,-0.000722
3/31/2026 - 03:28:40,AAVE,Open Long,98.256,0.18,17.68608,0.00764,-0.00764
3/31/2026 - 03:28:44,DOGE,Open Long,0.091714,196,17.975944000000002,0.007765,-0.007765
3/31/2026 - 03:39:10,XRP,Open Long,1.3421,13,17.447300000000002,0.007537,-0.007537
3/31/2026 - 03:44:14,kPEPE,Close Long,0.003361,5364,18.028404,0.007788,0.16386
3/31/2026 - 03:44:18,SOL,Close Long,83.773,0.21,17.592329999999997,0.007599,0.033309
3/31/2026 - 03:44:21,AAVE,Close Long,98.268,0.18,17.68824,0.007641,-0.005481
3/31/2026 - 03:44:26,LINK,Close Long,8.7752,2,17.5504,0.007581,0.275619
3/31/2026 - 03:44:29,ETH,Close Long,2073.1,0.0087,18.03597,0.007791,0.365439
3/31/2026 - 03:49:39,DOGE,Close Long,0.092174,196,18.066104000000003,0.007804,0.082356
3/31/2026 - 05:27:39,XRP,Close Long,1.3295,13,17.2835,0.007466,-0.171266
3/31/2026 - 07:00:27,DOGE,Open Short,0.091241,197,17.974477,0.007764,-0.007764
3/31/2026 - 07:15:53,SOL,Open Short,82.932,0.21,17.41572,0.007523,-0.007523
3/31/2026 - 08:33:19,AAVE,Open Short,97.524,0.18,17.55432,0.007583,-0.007583
3/31/2026 - 11:03:01,LINK,Open Short,8.6316,2,17.2632,0.007457,-0.007457
3/31/2026 - 11:23:36,kPEPE,Open Short,0.003314,5490,18.19386,0.007859,-0.007859
3/31/2026 - 11:23:44,ETH,Open Short,2027.9,0.0089,18.04831,0.007796,-0.007796
3/31/2026 - 11:49:30,AAVE,Close Short,96.489,0.18,17.36802,0.007502,0.17879799999999998
3/31/2026 - 12:10:11,SOL,Close Short,80.765,0.21,16.96065,0.007327,0.447743
3/31/2026 - 12:10:15,DOGE,Close Short,0.089964,197,17.722908,0.007656,0.243913
3/31/2026 - 12:15:22,kPEPE,Close Short,0.003306,5490,18.14994,0.00784,0.03608
3/31/2026 - 12:25:46,LINK,Close Short,8.57,2,17.14,0.007404,0.11579600000000001
3/31/2026 - 15:15:51,ETH,Close Short,2061.8,0.0089,18.35002,0.007927,-0.309637
3/31/2026 - 15:41:33,kPEPE,Open Long,0.003353,5425,18.190025000000002,0.007858,-0.007858
3/31/2026 - 15:41:40,LINK,Open Long,8.708,2,17.416,0.007523,-0.007523
3/31/2026 - 16:12:38,LINK,Close Long,8.7309,2,17.4618,0.007543,0.038257
3/31/2026 - 16:17:47,AAVE,Open Long,98.239,0.18,17.68302,0.007639,-0.007639
3/31/2026 - 16:23:00,DOGE,Open Long,0.091643,198,18.145314,0.007838,-0.007838
3/31/2026 - 16:23:07,XRP,Open Long,1.3344,13,17.3472,0.007493,-0.007493
3/31/2026 - 16:38:28,kPEPE,Close Long,0.003361,5425,18.233425,0.007876,0.035524
3/31/2026 - 16:54:06,XRP,Close Long,1.3137,13,17.078100000000003,0.007377,-0.27647700000000003
3/31/2026 - 16:59:13,DOGE,Close Long,0.090453,198,17.909694000000002,0.007736,-0.243356
3/31/2026 - 17:40:32,AAVE,Close Long,96.639,0.18,17.39502,0.007514,-0.295514
3/31/2026 - 18:11:31,kPEPE,Open Long,0.003338,5393,18.001834,0.007776,-0.007776
3/31/2026 - 18:42:39,LINK,Open Long,8.8264,2,17.6528,0.007626,-0.007626
3/31/2026 - 18:47:51,DOGE,Open Long,0.091359,197,17.997723,0.007775,-0.007775
3/31/2026 - 19:08:34,XRP,Open Long,1.3317,13,17.3121,0.007478,-0.007478
3/31/2026 - 19:13:39,kPEPE,Close Long,0.003407,5393,18.373950999999998,0.007937,0.36417999999999995
3/31/2026 - 19:13:45,DOGE,Close Long,0.09209,197,18.141730000000003,0.007837,0.13616999999999999
3/31/2026 - 19:18:54,SOL,Open Long,83.178,0.21,17.46738,0.007545,-0.007545
3/31/2026 - 19:18:59,AAVE,Open Long,98.13,0.18,17.6634,0.00763,-0.00763
3/31/2026 - 19:34:32,LINK,Close Long,8.8345,2,17.669,0.007633,0.008566999999999998
3/31/2026 - 19:34:37,XRP,Close Long,1.3391,13,17.4083,0.00752,0.08868
3/31/2026 - 23:05:56,AAVE,Close Long,98.627,0.18,17.75286,0.007669,0.081791
4/1/2026 - 04:05:00,SOL,Close Long,82.814,0.01,0.82814,0.000357,-0.003997
4/1/2026 - 04:05:00,SOL,Close Long,82.811,0.2,16.5622,0.007154,-0.080554
4/1/2026 - 04:05:04,AAVE,Open Short,97.481,0.18,17.54658,0.00758,-0.00758
