time,coin,dir,px,sz,ntl,fee,closedPnl
3/30/2026 - 18:21:34,XRP,Open Long,1.3416,8,10.7328,0.004829,-0.004829
3/30/2026 - 18:23:50,XRP,Close Long,1.341,8,10.728,0.004827,-0.009627
3/31/2026 - 03:26:42,DOGE,Open Short,0.091813,132,12.119316000000001,0.005453,-0.005453
3/31/2026 - 03:26:49,XRP,Open Short,1.3365,9,12.028500000000001,0.005412,-0.005412
3/31/2026 - 06:45:13,XRP,Close Short,1.3248,9,11.9232,0.005365,0.09993500000000001
3/31/2026 - 07:26:57,ETH,Open Short,2063.2,0.0059,12.17288,0.005477,-0.005477
3/31/2026 - 08:45:13,DOGE,Close Short,0.091384,132,12.062688000000001,0.005428,0.051199999999999996
3/31/2026 - 09:32:12,LINK,Open Short,8.6874,1.4,12.16236,0.005473,-0.005473
3/31/2026 - 09:42:41,ETH,Close Short,2051.9,0.0059,12.10621,0.005447,0.06122299999999999
3/31/2026 - 10:50:30,XRP,Open Short,1.3143,9,11.8287,0.005322,-0.005322
3/31/2026 - 11:06:08,DOGE,Open Short,0.090876,134,12.177384,0.005479,-0.005479
3/31/2026 - 11:11:19,SOL,Open Short,82.125,0.14,11.4975,0.005173,-0.005173
3/31/2026 - 11:21:56,ETH,Open Short,2029.8,0.006,12.1788,0.00548,-0.00548
3/31/2026 - 12:08:52,SOL,Close Short,80.74,0.14,11.303600000000001,0.005086,0.18881399999999998
3/31/2026 - 12:08:57,DOGE,Close Short,0.089877,134,12.043518,0.005419,0.128447
3/31/2026 - 12:08:59,LINK,Close Short,8.552,1.4,11.9728,0.005387,0.184173
3/31/2026 - 12:09:01,ETH,Close Short,2022,0.006,12.132,0.005459,0.041341
3/31/2026 - 12:09:04,XRP,Close Short,1.31,9,11.790000000000001,0.005305,0.033395
3/31/2026 - 15:16:36,ETH,Open Short,2062.5,0.0059,12.16875,0.005475,-0.005475
3/31/2026 - 15:26:55,SOL,Open Short,80.93,0.15,12.1395,0.005462,-0.005462
3/31/2026 - 15:27:05,XRP,Open Short,1.3201,9,11.8809,0.005346,-0.005346
3/31/2026 - 15:53:09,ETH,Close Short,2072,0.0059,12.2248,0.005501,-0.061551
3/31/2026 - 16:08:49,LINK,Open Short,8.7079,1.4,12.19106,0.005485,-0.005485
3/31/2026 - 16:24:27,DOGE,Open Short,0.091743,133,12.201819,0.00549,-0.00549
3/31/2026 - 17:06:03,SOL,Close Short,80.909,0.15,12.13635,0.005461,-0.0023109999999999997
3/31/2026 - 17:06:08,DOGE,Close Short,0.090601,133,12.049933,0.005422,0.14646399999999998
3/31/2026 - 17:06:11,LINK,Close Short,8.6589,1.4,12.122459999999998,0.005455,0.06314499999999999
3/31/2026 - 17:06:16,XRP,Close Short,1.3193,9,11.8737,0.005343,0.0018570000000000001
3/31/2026 - 18:45:07,SOL,Open Short,82.321,0.15,12.348149999999999,0.005556,-0.005556
3/31/2026 - 18:45:16,ETH,Open Long,2094.5,0.0059,12.35755,0.00556,-0.00556
3/31/2026 - 19:27:13,LINK,Open Long,8.8424,1.4,12.379359999999998,0.00557,-0.00557
3/31/2026 - 19:37:42,ETH,Close Long,2102.2,0.0059,12.40298,0.005581,0.039848999999999996
3/31/2026 - 23:58:30,ETH,Open Long,2101.3,0.0058,12.18754,0.005484,-0.005484
4/1/2026 - 03:06:28,ETH,Close Long,2104,0.0049,10.3096,0.004639,0.008591000000000001
4/1/2026 - 03:06:28,ETH,Close Long,2104,0.0009,1.8936,0.000852,0.001578
4/1/2026 - 03:22:10,XRP,Open Long,1.3391,9,12.0519,0.005423,-0.005423
4/1/2026 - 05:58:32,DOGE,Open Long,0.092382,133,12.286806,0.005529,-0.005529
4/1/2026 - 06:08:55,SOL,Close Short,83.369,0.15,12.50535,0.005627,-0.162827
4/1/2026 - 06:19:30,XRP,Close Long,1.3426,9,12.083400000000001,0.005437,0.026063
4/1/2026 - 07:32:26,ETH,Open Long,2126.6,0.0058,12.334279999999998,0.00555,-0.00555
4/1/2026 - 07:37:36,DOGE,Close Long,0.092741,133,12.334553,0.00555,0.042197
4/1/2026 - 09:16:31,LINK,Close Long,9.1328,1.4,12.785919999999999,0.005753,0.40080699999999997
4/1/2026 - 09:21:47,ETH,Close Long,2138,0.0058,12.4004,0.00558,0.06054
4/1/2026 - 10:55:37,DOGE,Open Long,0.092379,135,12.471165000000001,0.005612,-0.005612
4/1/2026 - 11:37:24,SOL,Open Long,83.408,0.14,11.677120000000002,0.005254,-0.005254
4/1/2026 - 17:16:43,DOGE,Close Long,0.092533,135,12.491955,0.005621,0.015168999999999998
4/1/2026 - 19:11:33,SOL,Close Long,85.905,0.14,12.026700000000002,0.005412,0.34416800000000003
4/1/2026 - 19:50:55,kPEPE,Open Short,0.003452,4910,16.94932,0.007627,-0.007627
4/1/2026 - 19:50:59,SOL,Open Long,84.439,0.23,19.42097,0.008739,-0.008739
4/1/2026 - 21:14:34,kPEPE,Close Short,0.003425,4910,16.81675,0.007567,0.125003
4/1/2026 - 22:06:46,SOL,Close Long,83.21,0.07,5.8247,0.002621,-0.088651
4/1/2026 - 22:06:46,SOL,Close Long,83.21,0.16,13.3136,0.005991,-0.202631
4/1/2026 - 23:14:36,kPEPE,Open Short,0.003449,3636,12.540564,0.005643,-0.005643
4/2/2026 - 00:22:30,LINK,Open Short,8.9523,1.4,12.533219999999998,0.005639,-0.005639
4/2/2026 - 03:14:37,DOGE,Open Short,0.091703,137,12.563311,0.005653,-0.005653
4/2/2026 - 03:19:47,SOL,Open Short,79.96,0.15,11.993999999999998,0.005397,-0.005397
4/2/2026 - 03:19:56,ETH,Open Short,2117.3,0.0059,12.49207,0.005621,-0.005621
4/2/2026 - 03:20:00,XRP,Open Short,1.3354,9,12.0186,0.005408,-0.005408
4/2/2026 - 03:46:02,DOGE,Close Short,0.090441,137,12.390417,0.005575,0.167319
4/2/2026 - 04:27:50,AAVE,Open Short,94.796,0.13,12.323480000000002,0.005545,-0.005545
4/2/2026 - 04:33:09,ETH,Close Short,2086.8,0.0059,12.31212,0.00554,0.17441
4/2/2026 - 04:33:12,XRP,Close Short,1.3243,9,11.918700000000001,0.005363,0.09453700000000001
4/2/2026 - 04:59:09,SOL,Close Short,78.791,0.15,11.81865,0.005318,0.17003200000000002
4/2/2026 - 05:25:15,LINK,Close Short,8.6045,1.4,12.046299999999999,0.00542,0.48150000000000004
4/2/2026 - 07:04:16,AAVE,Close Short,93.972,0.13,12.21636,0.005497,0.101623
4/2/2026 - 07:30:32,XRP,Open Short,1.3117,9,11.8053,0.005312,-0.005312
4/2/2026 - 08:01:50,DOGE,Open Short,0.089987,144,12.958128,0.005831,-0.005831
4/2/2026 - 08:28:00,ETH,Open Short,2050.1,0.0063,12.91563,0.005812,-0.005812
4/2/2026 - 08:54:07,LINK,Open Short,8.5502,1.5,12.8253,0.005771,-0.005771
4/2/2026 - 09:35:50,SOL,Open Short,79.407,0.16,12.705119999999999,0.005717,-0.005717
4/2/2026 - 11:30:41,SOL,Close Short,79.271,0.16,12.68336,0.005707,0.016053
4/2/2026 - 11:36:00,LINK,Close Short,8.5126,1.5,12.768900000000002,0.005746,0.050654
4/2/2026 - 13:30:47,ETH,Close Short,2037.5,0.0063,12.83625,0.005776,0.073604
4/2/2026 - 15:09:52,AAVE,Open Short,92.921,0.14,13.008940000000003,0.005854,-0.005854
4/2/2026 - 15:30:50,DOGE,Close Short,0.089566,144,12.897504000000001,0.005803,0.054820999999999995
4/2/2026 - 15:51:41,AAVE,Close Short,93.08,0.14,13.0312,0.005864,-0.028124
4/2/2026 - 15:51:50,XRP,Close Short,1.2858,9,11.5722,0.005207,0.227893
4/2/2026 - 15:57:02,ETH,Open Short,2031.4,0.0064,13.000960000000001,0.00585,-0.00585
4/2/2026 - 22:38:55,ETH,Close Short,2072.4,0.0064,13.26336,0.005968,-0.268368
4/3/2026 - 12:33:55,SOL,Open Long,79.788,0.16,12.76608,0.005744,-0.005744
4/3/2026 - 13:26:10,DOGE,Open Long,0.091498,140,12.809719999999999,0.005764,-0.005764
4/3/2026 - 13:47:13,XRP,Open Long,1.3213,9,11.8917,0.005351,-0.005351
4/3/2026 - 14:34:06,SOL,Close Long,79.929,0.16,12.788640000000001,0.005754,0.016806
4/3/2026 - 15:10:55,kPEPE,Close Short,0.003455,3636,12.562380000000001,0.005653,-0.027469
4/3/2026 - 16:05:21,SOL,Open Long,79.718,0.16,12.75488,0.005739,-0.005739
4/3/2026 - 16:05:29,LINK,Open Long,8.6978,1.4,12.17692,0.005479,-0.005479
4/4/2026 - 00:07:38,DOGE,Close Long,0.091933,140,12.87062,0.005791,0.055109000000000005
4/4/2026 - 02:10:10,LINK,Close Long,8.6331,1.4,12.08634,0.005438,-0.09601799999999999
4/4/2026 - 02:10:14,XRP,Close Long,1.3162,9,11.8458,0.00533,-0.051230000000000005
4/4/2026 - 03:17:45,SOL,Close Long,80.061,0.16,12.80976,0.005764,0.049116
4/4/2026 - 06:04:18,AAVE,Open Short,94.996,0.13,12.34948,0.005557,-0.005557
4/4/2026 - 08:35:39,AAVE,Close Short,94.723,0.13,12.31399,0.005541,0.029949
4/4/2026 - 12:35:51,XRP,Open Short,1.309,9,11.780999999999999,0.005301,-0.005301
